station,valid,sped
BOS,2021-01-01 00:54,10.35
BOS,2021-01-01 01:54,9.20
BOS,2021-01-01 02:54,8.05
BOS,2021-01-01 03:54,9.20
BOS,2021-01-01 04:54,9.20
BOS,2021-01-01 05:54,12.65
BOS,2021-01-01 06:54,11.50
BOS,2021-01-01 07:54,11.50
BOS,2021-01-01 08:54,10.35
BOS,2021-01-01 09:54,8.05
BOS,2021-01-01 10:54,5.75
BOS,2021-01-01 11:54,9.20
BOS,2021-01-01 12:54,4.60
BOS,2021-01-01 13:54,5.75
BOS,2021-01-01 14:54,5.75
BOS,2021-01-01 15:54,4.60
BOS,2021-01-01 16:54,3.45
BOS,2021-01-01 17:54,3.45
BOS,2021-01-01 18:54,5.75
BOS,2021-01-01 19:54,3.45
BOS,2021-01-01 21:54,5.75
BOS,2021-01-01 22:54,5.75
BOS,2021-01-01 23:54,6.90
BOS,2021-01-02 00:26,6.90
BOS,2021-01-02 00:54,4.60
BOS,2021-01-02 01:54,3.45
BOS,2021-01-02 02:54,4.60
BOS,2021-01-02 03:54,0.00
BOS,2021-01-02 04:12,5.75
BOS,2021-01-02 04:31,11.50
BOS,2021-01-02 04:54,8.05
BOS,2021-01-02 05:10,5.75
BOS,2021-01-02 05:34,8.05
BOS,2021-01-02 05:48,10.35
BOS,2021-01-02 05:54,12.65
BOS,2021-01-02 06:21,17.25
BOS,2021-01-02 06:45,14.95
BOS,2021-01-02 06:54,17.25
BOS,2021-01-02 07:23,13.80
BOS,2021-01-02 07:34,14.95
BOS,2021-01-02 07:45,14.95
BOS,2021-01-02 07:54,14.95
BOS,2021-01-02 08:16,17.25
BOS,2021-01-02 08:42,17.25
BOS,2021-01-02 08:54,17.25
BOS,2021-01-02 09:13,19.55
BOS,2021-01-02 09:54,20.70
BOS,2021-01-02 10:12,17.25
BOS,2021-01-02 10:37,18.40
BOS,2021-01-02 10:54,19.55
BOS,2021-01-02 11:54,16.10
BOS,2021-01-02 12:31,13.80
BOS,2021-01-02 12:54,8.05
BOS,2021-01-02 13:54,4.60
BOS,2021-01-02 14:19,12.65
BOS,2021-01-02 14:54,13.80
BOS,2021-01-02 15:54,11.50
BOS,2021-01-02 16:54,12.65
BOS,2021-01-02 17:54,11.50
BOS,2021-01-02 18:26,12.65
BOS,2021-01-02 18:54,13.80
BOS,2021-01-02 19:26,14.95
BOS,2021-01-02 19:54,18.40
BOS,2021-01-02 20:54,13.80
BOS,2021-01-02 21:54,13.80
BOS,2021-01-02 22:54,24.15
BOS,2021-01-02 23:54,13.80
BOS,2021-01-03 00:54,13.80
BOS,2021-01-03 01:54,11.50
BOS,2021-01-03 02:54,14.95
BOS,2021-01-03 03:54,13.80
BOS,2021-01-03 04:54,11.50
BOS,2021-01-03 05:54,8.05
BOS,2021-01-03 06:54,8.05
BOS,2021-01-03 07:54,6.90
BOS,2021-01-03 08:54,9.20
BOS,2021-01-03 09:54,8.05
BOS,2021-01-03 10:54,6.90
BOS,2021-01-03 11:54,9.20
BOS,2021-01-03 12:54,10.35
BOS,2021-01-03 13:54,8.05
BOS,2021-01-03 14:54,8.05
BOS,2021-01-03 15:54,5.75
BOS,2021-01-03 16:54,4.60
BOS,2021-01-03 17:54,9.20
BOS,2021-01-03 18:54,12.65
BOS,2021-01-03 19:54,9.20
BOS,2021-01-03 20:54,9.20
BOS,2021-01-03 21:00,10.35
BOS,2021-01-03 21:13,9.20
BOS,2021-01-03 21:54,9.20
BOS,2021-01-03 22:25,5.75
BOS,2021-01-03 22:54,9.20
BOS,2021-01-03 23:48,10.35
BOS,2021-01-03 23:54,9.20
BOS,2021-01-03 23:57,9.20
BOS,2021-01-04 00:23,10.35
BOS,2021-01-04 00:32,10.35
BOS,2021-01-04 00:43,10.35
BOS,2021-01-04 00:54,10.35
BOS,2021-01-04 01:17,10.35
BOS,2021-01-04 01:37,12.65
BOS,2021-01-04 01:54,11.50
BOS,2021-01-04 02:10,12.65
BOS,2021-01-04 02:26,14.95
BOS,2021-01-04 02:54,11.50
BOS,2021-01-04 03:54,14.95
BOS,2021-01-04 04:54,14.95
BOS,2021-01-04 05:54,14.95
BOS,2021-01-04 06:54,13.80
BOS,2021-01-04 07:54,9.20
BOS,2021-01-04 08:54,11.50
BOS,2021-01-04 09:54,12.65
BOS,2021-01-04 10:54,10.35
BOS,2021-01-04 11:54,11.50
BOS,2021-01-04 12:54,12.65
BOS,2021-01-04 13:54,12.65
BOS,2021-01-04 14:54,13.80
BOS,2021-01-04 15:24,13.80
BOS,2021-01-04 15:54,11.50
BOS,2021-01-04 16:54,13.80
BOS,2021-01-04 17:11,12.65
BOS,2021-01-04 17:54,10.35
BOS,2021-01-04 18:54,11.50
BOS,2021-01-04 19:54,14.95
BOS,2021-01-04 20:54,13.80
BOS,2021-01-04 21:54,9.20
BOS,2021-01-04 22:54,8.05
BOS,2021-01-04 23:54,9.20
BOS,2021-01-05 00:54,11.50
BOS,2021-01-05 01:44,9.20
BOS,2021-01-05 01:54,9.20
BOS,2021-01-05 02:54,11.50
BOS,2021-01-05 03:54,9.20
BOS,2021-01-05 04:54,9.20
BOS,2021-01-05 05:54,10.35
BOS,2021-01-05 06:20,11.50
BOS,2021-01-05 06:54,9.20
BOS,2021-01-05 07:46,9.20
BOS,2021-01-05 07:54,11.50
BOS,2021-01-05 08:54,11.50
BOS,2021-01-05 09:54,10.35
BOS,2021-01-05 10:54,10.35
BOS,2021-01-05 11:30,11.50
BOS,2021-01-05 11:54,11.50
BOS,2021-01-05 12:54,9.20
BOS,2021-01-05 13:54,10.35
BOS,2021-01-05 14:42,11.50
BOS,2021-01-05 14:54,9.20
BOS,2021-01-05 15:54,12.65
BOS,2021-01-05 16:46,13.80
BOS,2021-01-05 16:54,12.65
BOS,2021-01-05 17:24,12.65
BOS,2021-01-05 17:54,11.50
BOS,2021-01-05 18:15,10.35
BOS,2021-01-05 18:47,9.20
BOS,2021-01-05 18:54,10.35
BOS,2021-01-05 19:36,12.65
BOS,2021-01-05 19:54,10.35
BOS,2021-01-05 20:54,11.50
BOS,2021-01-05 21:54,9.20
BOS,2021-01-05 22:02,11.50
BOS,2021-01-05 22:54,11.50
BOS,2021-01-05 23:09,10.35
BOS,2021-01-05 23:54,10.35
BOS,2021-01-06 00:54,11.50
BOS,2021-01-06 01:07,10.35
BOS,2021-01-06 01:38,11.50
BOS,2021-01-06 01:54,11.50
BOS,2021-01-06 02:54,11.50
BOS,2021-01-06 03:32,10.35
BOS,2021-01-06 03:54,10.35
BOS,2021-01-06 04:54,10.35
BOS,2021-01-06 05:54,10.35
BOS,2021-01-06 06:54,8.05
BOS,2021-01-06 07:54,11.50
BOS,2021-01-06 08:54,8.05
BOS,2021-01-06 09:17,10.35
BOS,2021-01-06 09:40,9.20
BOS,2021-01-06 09:54,11.50
BOS,2021-01-06 10:54,10.35
BOS,2021-01-06 11:54,10.35
BOS,2021-01-06 12:54,12.65
BOS,2021-01-06 13:54,13.80
BOS,2021-01-06 14:54,13.80
BOS,2021-01-06 15:54,14.95
BOS,2021-01-06 16:54,13.80
BOS,2021-01-06 17:54,14.95
BOS,2021-01-06 18:54,17.25
BOS,2021-01-06 19:54,12.65
BOS,2021-01-06 20:54,14.95
