station,valid,sped
BWI,2021-01-01 00:54,5.75
BWI,2021-01-01 01:54,5.75
BWI,2021-01-01 02:54,4.60
BWI,2021-01-01 03:54,4.60
BWI,2021-01-01 04:54,3.45
BWI,2021-01-01 05:54,3.45
BWI,2021-01-01 06:54,5.75
BWI,2021-01-01 07:54,5.75
BWI,2021-01-01 08:54,3.45
BWI,2021-01-01 09:54,4.60
BWI,2021-01-01 10:54,3.45
BWI,2021-01-01 11:54,0.00
BWI,2021-01-01 12:54,0.00
BWI,2021-01-01 13:54,8.05
BWI,2021-01-01 14:54,10.35
BWI,2021-01-01 15:27,6.90
BWI,2021-01-01 15:54,5.75
BWI,2021-01-01 16:54,9.20
BWI,2021-01-01 17:19,10.35
BWI,2021-01-01 17:37,3.45
BWI,2021-01-01 17:54,5.75
BWI,2021-01-01 18:54,11.50
BWI,2021-01-01 19:54,10.35
BWI,2021-01-01 20:20,9.20
BWI,2021-01-01 20:54,5.75
BWI,2021-01-01 21:54,8.05
BWI,2021-01-01 22:37,12.65
BWI,2021-01-01 22:54,10.35
BWI,2021-01-01 23:54,6.90
BWI,2021-01-02 00:36,0.00
BWI,2021-01-02 00:54,3.45
BWI,2021-01-02 01:54,3.45
BWI,2021-01-02 02:42,13.80
BWI,2021-01-02 02:54,12.65
BWI,2021-01-02 03:22,4.60
BWI,2021-01-02 03:39,6.90
BWI,2021-01-02 03:54,4.60
BWI,2021-01-02 04:54,5.75
BWI,2021-01-02 05:52,4.60
BWI,2021-01-02 05:54,4.60
BWI,2021-01-02 06:54,3.45
BWI,2021-01-02 07:35,0.00
BWI,2021-01-02 07:54,0.00
BWI,2021-01-02 08:01,3.45
BWI,2021-01-02 08:54,3.45
BWI,2021-01-02 09:54,4.60
BWI,2021-01-02 10:54,11.50
BWI,2021-01-02 11:24,11.50
BWI,2021-01-02 11:54,5.75
BWI,2021-01-02 12:31,3.45
BWI,2021-01-02 12:54,3.45
BWI,2021-01-02 13:54,6.90
BWI,2021-01-02 14:54,5.75
BWI,2021-01-02 15:54,8.05
BWI,2021-01-02 16:54,14.95
BWI,2021-01-02 17:54,23.00
BWI,2021-01-02 18:54,19.55
BWI,2021-01-02 19:54,16.10
BWI,2021-01-02 20:54,12.65
BWI,2021-01-02 21:54,6.90
BWI,2021-01-02 22:54,4.60
BWI,2021-01-02 23:54,3.45
BWI,2021-01-03 00:54,9.20
BWI,2021-01-03 01:54,4.60
BWI,2021-01-03 02:54,5.75
BWI,2021-01-03 03:54,6.90
BWI,2021-01-03 04:54,6.90
BWI,2021-01-03 05:54,9.20
BWI,2021-01-03 06:54,9.20
BWI,2021-01-03 07:54,4.60
BWI,2021-01-03 08:54,8.05
BWI,2021-01-03 09:54,6.90
BWI,2021-01-03 10:54,11.50
BWI,2021-01-03 11:54,3.45
BWI,2021-01-03 12:01,3.45
BWI,2021-01-03 12:54,8.05
BWI,2021-01-03 13:54,11.50
BWI,2021-01-03 14:27,10.35
BWI,2021-01-03 14:54,10.35
BWI,2021-01-03 15:54,6.90
BWI,2021-01-03 16:54,9.20
BWI,2021-01-03 17:54,5.75
BWI,2021-01-03 18:54,5.75
BWI,2021-01-03 19:54,9.20
BWI,2021-01-03 20:08,8.05
BWI,2021-01-03 20:24,8.05
BWI,2021-01-03 20:54,9.20
BWI,2021-01-03 21:23,0.00
BWI,2021-01-03 21:41,3.45
BWI,2021-01-03 21:54,3.45
BWI,2021-01-03 22:22,4.60
BWI,2021-01-03 22:54,4.60
BWI,2021-01-03 23:11,4.60
BWI,2021-01-03 23:39,4.60
BWI,2021-01-03 23:54,4.60
BWI,2021-01-04 00:09,5.75
BWI,2021-01-04 00:54,4.60
BWI,2021-01-04 01:54,4.60
BWI,2021-01-04 02:54,3.45
BWI,2021-01-04 03:54,4.60
BWI,2021-01-04 04:54,5.75
BWI,2021-01-04 05:54,3.45
BWI,2021-01-04 06:54,3.45
BWI,2021-01-04 07:54,5.75
BWI,2021-01-04 08:54,3.45
BWI,2021-01-04 09:54,0.00
BWI,2021-01-04 10:54,4.60
BWI,2021-01-04 11:54,4.60
BWI,2021-01-04 12:54,0.00
BWI,2021-01-04 13:54,3.45
BWI,2021-01-04 14:54,3.45
BWI,2021-01-04 15:54,5.75
