utc,tke
2015-12-30 00:00:00,0.00000
2015-12-30 00:20:00,0.726091
2015-12-30 00:40:00,0.721347
2015-12-30 01:00:00,0.628809
2015-12-30 01:20:00,0.654178
2015-12-30 01:40:00,0.564931
2015-12-30 02:00:00,0.538854
2015-12-30 02:20:00,0.602921
2015-12-30 02:40:00,0.562368
2015-12-30 03:00:00,0.523092
2015-12-30 03:20:00,0.470185
2015-12-30 03:40:00,0.426440
2015-12-30 04:00:00,0.386157
2015-12-30 04:20:00,0.347426
2015-12-30 04:40:00,0.318087
2015-12-30 05:00:00,0.290707
2015-12-30 05:20:00,0.250187
2015-12-30 05:40:00,0.195469
2015-12-30 06:00:00,0.174096
2015-12-30 06:20:00,0.162733
2015-12-30 06:40:00,0.155724
2015-12-30 07:00:00,0.141675
2015-12-30 07:20:00,0.123749
2015-12-30 07:40:00,0.118858
2015-12-30 08:00:00,0.114657
2015-12-30 08:20:00,0.105500
2015-12-30 08:40:00,0.0924029
2015-12-30 09:00:00,0.0749421
2015-12-30 09:20:00,0.0581912
2015-12-30 09:40:00,0.0468512
2015-12-30 10:00:00,0.0453087
2015-12-30 10:20:00,0.0601120
2015-12-30 10:40:00,0.0776423
2015-12-30 11:00:00,0.0895938
2015-12-30 11:20:00,0.113196
2015-12-30 11:40:00,0.123655
2015-12-30 12:00:00,0.132995
2015-12-30 12:20:00,0.131282
2015-12-30 12:40:00,0.149832
2015-12-30 13:00:00,0.133919
2015-12-30 13:20:00,0.125630
2015-12-30 13:40:00,0.133679
2015-12-30 14:00:00,0.165392
2015-12-30 14:20:00,0.198969
2015-12-30 14:40:00,0.222206
2015-12-30 15:00:00,0.260938
2015-12-30 15:20:00,0.298876
2015-12-30 15:40:00,0.353632
2015-12-30 16:00:00,0.407990
2015-12-30 16:20:00,0.641323
2015-12-30 16:40:00,0.747271
2015-12-30 17:00:00,0.804945
2015-12-30 17:20:00,0.860018
2015-12-30 17:40:00,0.926163
2015-12-30 18:00:00,0.992809
2015-12-30 18:20:00,1.06164
2015-12-30 18:40:00,1.12197
2015-12-30 19:00:00,1.19641
2015-12-30 19:20:00,1.25890
2015-12-30 19:40:00,1.28192
2015-12-30 20:00:00,1.27625
2015-12-30 20:20:00,1.24635
2015-12-30 20:40:00,1.20673
2015-12-30 21:00:00,1.17254
2015-12-30 21:20:00,1.12221
2015-12-30 21:40:00,1.10335
2015-12-30 22:00:00,1.08374
2015-12-30 22:20:00,1.41191
2015-12-30 22:40:00,1.31502
2015-12-30 23:00:00,1.28398
2015-12-30 23:20:00,1.15323
2015-12-30 23:40:00,1.05963
2015-12-31 00:00:00,1.19088
2015-12-31 00:20:00,1.31530
2015-12-31 00:40:00,1.29976
2015-12-31 01:00:00,1.29045
2015-12-31 01:20:00,1.22842
2015-12-31 01:40:00,1.21337
2015-12-31 02:00:00,1.19088
2015-12-31 02:20:00,1.03131
2015-12-31 02:40:00,0.938109
2015-12-31 03:00:00,0.896228
2015-12-31 03:20:00,0.931782
2015-12-31 03:40:00,0.961802
2015-12-31 04:00:00,0.946193
2015-12-31 04:20:00,0.889509
2015-12-31 04:40:00,0.889920
2015-12-31 05:00:00,1.02844
2015-12-31 05:20:00,0.845036
2015-12-31 05:40:00,0.888095
2015-12-31 06:00:00,0.880639
2015-12-31 06:20:00,0.851612
2015-12-31 06:40:00,0.966806
2015-12-31 07:00:00,1.28069
2015-12-31 07:20:00,0.937419
2015-12-31 07:40:00,0.941196
2015-12-31 08:00:00,0.969127
2015-12-31 08:20:00,0.855312
2015-12-31 08:40:00,0.847844
2015-12-31 09:00:00,0.660071
2015-12-31 09:20:00,0.725778
2015-12-31 09:40:00,0.899316
2015-12-31 10:00:00,0.953261
2015-12-31 10:20:00,1.15179
2015-12-31 10:40:00,1.09412
2015-12-31 11:00:00,0.987406
2015-12-31 11:20:00,0.880360
2015-12-31 11:40:00,0.878758
2015-12-31 12:00:00,0.890240
2015-12-31 12:20:00,0.902694
2015-12-31 12:40:00,0.896387
2015-12-31 13:00:00,0.867448
2015-12-31 13:20:00,0.811717
2015-12-31 13:40:00,0.790086
2015-12-31 14:00:00,0.819111
2015-12-31 14:20:00,0.854821
2015-12-31 14:40:00,0.898320
2015-12-31 15:00:00,0.940724
2015-12-31 15:20:00,0.981186
2015-12-31 15:40:00,1.02640
2015-12-31 16:00:00,1.07224
2015-12-31 16:20:00,1.12461
2015-12-31 16:40:00,1.20025
2015-12-31 17:00:00,1.28187
2015-12-31 17:20:00,1.36608
2015-12-31 17:40:00,1.45486
2015-12-31 18:00:00,1.32718
2015-12-31 18:20:00,1.38819
2015-12-31 18:40:00,1.34692
2015-12-31 19:00:00,1.28801
2015-12-31 19:20:00,1.48321
2015-12-31 19:40:00,1.37294
2015-12-31 20:00:00,1.38872
2015-12-31 20:20:00,1.46543
2015-12-31 20:40:00,1.51509
2015-12-31 21:00:00,1.42953
2015-12-31 21:20:00,1.43457
2015-12-31 21:40:00,1.14481
2015-12-31 22:00:00,1.16744
2015-12-31 22:20:00,1.28440
2015-12-31 22:40:00,1.31445
2015-12-31 23:00:00,1.26998
2015-12-31 23:20:00,1.19904
2015-12-31 23:40:00,1.33045
2016-01-01 00:00:00,1.22193
2016-01-01 00:20:00,1.23581
2016-01-01 00:40:00,1.15511
2016-01-01 01:00:00,1.20122
2016-01-01 01:20:00,1.15845
2016-01-01 01:40:00,1.05843
2016-01-01 02:00:00,1.23798
2016-01-01 02:20:00,1.05735
2016-01-01 02:40:00,0.966770
2016-01-01 03:00:00,0.952003
2016-01-01 03:20:00,0.948045
2016-01-01 03:40:00,0.949182
2016-01-01 04:00:00,0.968386
2016-01-01 04:20:00,0.993320
2016-01-01 04:40:00,1.02166
2016-01-01 05:00:00,1.07421
2016-01-01 05:20:00,1.11085
2016-01-01 05:40:00,1.11586
2016-01-01 06:00:00,1.13105
2016-01-01 06:20:00,1.16881
2016-01-01 06:40:00,1.21622
2016-01-01 07:00:00,1.25455
2016-01-01 07:20:00,1.27673
2016-01-01 07:40:00,1.28653
2016-01-01 08:00:00,1.31053
2016-01-01 08:20:00,1.33883
2016-01-01 08:40:00,1.39467
2016-01-01 09:00:00,1.44980
2016-01-01 09:20:00,1.52616
2016-01-01 09:40:00,1.60631
2016-01-01 10:00:00,1.65593
2016-01-01 10:20:00,1.69500
2016-01-01 10:40:00,1.73427
2016-01-01 11:00:00,1.78833
2016-01-01 11:20:00,1.87122
2016-01-01 11:40:00,2.11591
2016-01-01 12:00:00,2.19634
2016-01-01 12:20:00,2.24565
2016-01-01 12:40:00,2.24861
2016-01-01 13:00:00,2.23728
2016-01-01 13:20:00,2.07119
2016-01-01 13:40:00,2.14524
2016-01-01 14:00:00,2.24102
2016-01-01 14:20:00,2.31052
2016-01-01 14:40:00,2.34052
2016-01-01 15:00:00,2.35812
2016-01-01 15:20:00,2.36407
2016-01-01 15:40:00,2.37386
2016-01-01 16:00:00,2.40272
2016-01-01 16:20:00,2.43914
2016-01-01 16:40:00,2.45034
2016-01-01 17:00:00,2.47866
2016-01-01 17:20:00,2.46646
2016-01-01 17:40:00,2.44097
2016-01-01 18:00:00,2.42728
2016-01-01 18:20:00,2.44664
2016-01-01 18:40:00,2.40019
2016-01-01 19:00:00,2.35635
2016-01-01 19:20:00,2.50490
2016-01-01 19:40:00,2.26557
2016-01-01 20:00:00,2.29953
2016-01-01 20:20:00,2.36302
2016-01-01 20:40:00,2.22218
2016-01-01 21:00:00,2.18579
2016-01-01 21:20:00,2.18212
2016-01-01 21:40:00,2.01576
2016-01-01 22:00:00,1.76646
2016-01-01 22:20:00,1.72604
2016-01-01 22:40:00,1.67081
2016-01-01 23:00:00,1.66107
2016-01-01 23:20:00,1.65252
2016-01-01 23:40:00,1.62723
2016-01-02 00:00:00,1.54894
2016-01-02 00:20:00,1.46749
2016-01-02 00:40:00,1.39842
2016-01-02 01:00:00,1.37969
2016-01-02 01:20:00,1.39365
2016-01-02 01:40:00,1.43409
2016-01-02 02:00:00,1.53189
2016-01-02 02:20:00,1.62360
2016-01-02 02:40:00,1.70696
2016-01-02 03:00:00,1.85781
2016-01-02 03:20:00,2.03897
2016-01-02 03:40:00,2.23916
2016-01-02 04:00:00,2.34398
2016-01-02 04:20:00,2.35079
2016-01-02 04:40:00,2.37052
2016-01-02 05:00:00,2.41663
2016-01-02 05:20:00,2.44267
2016-01-02 05:40:00,2.43876
