station,valid,drct,sped
IND,2016-01-01 00:54,260.00,12.65
IND,2016-01-01 01:54,270.00,10.35
IND,2016-01-01 02:54,260.00,17.25
IND,2016-01-01 03:54,260.00,14.95
IND,2016-01-01 04:54,270.00,13.80
IND,2016-01-01 05:54,250.00,11.50
IND,2016-01-01 06:54,240.00,9.20
IND,2016-01-01 08:54,220.00,8.05
IND,2016-01-01 09:54,230.00,10.35
IND,2016-01-01 10:54,230.00,10.35
IND,2016-01-01 11:54,240.00,9.20
IND,2016-01-01 12:54,230.00,9.20
IND,2016-01-01 13:52,210.00,10.35
IND,2016-01-01 13:54,210.00,10.35
IND,2016-01-01 14:54,260.00,17.25
IND,2016-01-01 15:54,260.00,14.95
IND,2016-01-01 16:54,260.00,20.70
IND,2016-01-01 17:54,270.00,14.95
IND,2016-01-01 18:54,260.00,12.65
IND,2016-01-01 19:54,280.00,17.25
IND,2016-01-01 20:54,250.00,14.95
IND,2016-01-01 21:54,250.00,18.40
IND,2016-01-01 22:54,240.00,14.95
IND,2016-01-01 23:13,250.00,14.95
IND,2016-01-01 23:54,250.00,10.35
IND,2016-01-02 00:54,240.00,8.05
IND,2016-01-02 01:54,220.00,6.90
IND,2016-01-02 02:54,220.00,9.20
IND,2016-01-02 03:54,230.00,9.20
IND,2016-01-02 04:54,230.00,11.50
IND,2016-01-02 05:54,220.00,11.50
IND,2016-01-02 06:54,230.00,14.95
IND,2016-01-02 07:54,230.00,12.65
IND,2016-01-02 08:54,230.00,10.35
IND,2016-01-02 09:54,230.00,10.35
IND,2016-01-02 10:54,240.00,11.50
IND,2016-01-02 11:54,250.00,9.20
IND,2016-01-02 12:54,240.00,10.35
IND,2016-01-02 13:54,230.00,10.35
IND,2016-01-02 14:54,250.00,13.80
IND,2016-01-02 15:54,250.00,14.95
IND,2016-01-02 16:54,250.00,10.35
IND,2016-01-02 17:54,240.00,11.50
IND,2016-01-02 18:54,250.00,13.80
IND,2016-01-02 19:54,250.00,14.95
IND,2016-01-02 20:54,240.00,14.95
IND,2016-01-02 21:54,240.00,10.35
IND,2016-01-02 22:54,240.00,10.35
IND,2016-01-02 23:54,220.00,10.35
IND,2016-01-03 00:54,230.00,8.05
IND,2016-01-03 01:54,220.00,10.35
IND,2016-01-03 02:54,230.00,11.50
IND,2016-01-03 03:54,230.00,10.35
IND,2016-01-03 04:54,240.00,10.35
IND,2016-01-03 05:54,230.00,12.65
IND,2016-01-03 06:54,240.00,13.80
IND,2016-01-03 07:54,260.00,11.50
IND,2016-01-03 08:54,250.00,10.35
IND,2016-01-03 09:54,250.00,10.35
IND,2016-01-03 10:54,280.00,10.35
IND,2016-01-03 11:54,280.00,10.35
IND,2016-01-03 12:54,290.00,8.05
IND,2016-01-03 13:54,300.00,6.90
IND,2016-01-03 14:54,330.00,10.35
IND,2016-01-03 15:54,330.00,9.20
IND,2016-01-03 16:54,270.00,4.60
IND,2016-01-03 17:54,270.00,8.05
IND,2016-01-03 18:54,310.00,9.20
IND,2016-01-03 19:54,310.00,10.35
IND,2016-01-03 20:54,320.00,14.95
IND,2016-01-03 21:29,320.00,9.20
IND,2016-01-03 21:54,320.00,12.65
IND,2016-01-03 22:54,320.00,12.65
IND,2016-01-03 23:54,310.00,11.50
IND,2016-01-04 00:03,320.00,13.80
IND,2016-01-04 00:54,310.00,12.65
IND,2016-01-04 01:54,330.00,12.65
IND,2016-01-04 02:54,320.00,13.80
IND,2016-01-04 03:54,330.00,12.65
IND,2016-01-04 04:54,330.00,12.65
IND,2016-01-04 05:54,320.00,12.65
IND,2016-01-04 06:46,330.00,11.50
IND,2016-01-04 06:54,330.00,11.50
IND,2016-01-04 07:54,320.00,12.65
IND,2016-01-04 08:50,310.00,12.65
IND,2016-01-04 08:54,320.00,13.80
IND,2016-01-04 09:54,310.00,12.65
IND,2016-01-04 10:54,320.00,13.80
IND,2016-01-04 11:54,320.00,12.65
IND,2016-01-04 12:54,310.00,10.35
IND,2016-01-04 13:54,310.00,10.35
IND,2016-01-04 14:54,320.00,12.65
IND,2016-01-04 15:54,320.00,11.50
IND,2016-01-04 16:54,340.00,11.50
IND,2016-01-04 17:54,330.00,9.20
IND,2016-01-04 18:54,340.00,9.20
IND,2016-01-04 19:45,350.00,9.20
IND,2016-01-04 19:54,340.00,10.35
IND,2016-01-04 20:54,10.00,6.90
IND,2016-01-04 21:54,20.00,8.05
IND,2016-01-04 22:54,360.00,8.05
IND,2016-01-04 23:54,10.00,8.05
IND,2016-01-05 00:54,10.00,8.05
IND,2016-01-05 01:54,30.00,9.20
IND,2016-01-05 02:54,40.00,6.90
IND,2016-01-05 03:54,60.00,5.75
IND,2016-01-05 04:54,70.00,6.90
IND,2016-01-05 05:54,70.00,8.05
IND,2016-01-05 06:54,90.00,8.05
IND,2016-01-05 07:54,110.00,9.20
IND,2016-01-05 08:54,100.00,12.65
IND,2016-01-05 09:54,110.00,8.05
IND,2016-01-05 10:54,120.00,8.05
IND,2016-01-05 11:54,120.00,9.20
IND,2016-01-05 12:54,140.00,6.90
IND,2016-01-05 13:54,120.00,5.75
IND,2016-01-05 14:54,170.00,8.05
IND,2016-01-05 15:54,160.00,8.05
IND,2016-01-05 16:54,140.00,9.20
IND,2016-01-05 17:54,150.00,8.05
IND,2016-01-05 18:54,130.00,8.05
IND,2016-01-05 19:54,130.00,10.35
IND,2016-01-05 20:54,130.00,9.20
IND,2016-01-05 21:54,140.00,8.05
IND,2016-01-05 22:54,120.00,6.90
IND,2016-01-05 23:54,110.00,8.05
IND,2016-01-06 00:54,130.00,5.75
IND,2016-01-06 01:54,140.00,4.60
IND,2016-01-06 02:54,140.00,6.90
IND,2016-01-06 03:54,130.00,5.75
IND,2016-01-06 04:54,130.00,6.90
IND,2016-01-06 05:54,140.00,5.75
IND,2016-01-06 06:54,150.00,6.90
IND,2016-01-06 07:54,140.00,3.45
IND,2016-01-06 08:54,120.00,3.45
IND,2016-01-06 09:54,120.00,5.75
IND,2016-01-06 10:54,130.00,4.60
IND,2016-01-06 11:54,120.00,5.75
IND,2016-01-06 12:54,140.00,5.75
IND,2016-01-06 13:54,150.00,6.90
IND,2016-01-06 14:54,160.00,6.90
IND,2016-01-06 15:54,180.00,8.05
IND,2016-01-06 16:54,180.00,8.05
IND,2016-01-06 17:54,180.00,4.60
IND,2016-01-06 18:54,180.00,9.20
IND,2016-01-06 19:54,160.00,9.20
IND,2016-01-06 20:54,190.00,6.90
IND,2016-01-06 21:54,160.00,9.20
IND,2016-01-06 22:54,140.00,4.60
IND,2016-01-06 23:54,150.00,8.05
IND,2016-01-07 00:54,150.00,6.90
IND,2016-01-07 01:54,140.00,6.90
IND,2016-01-07 02:54,140.00,5.75
IND,2016-01-07 03:54,150.00,8.05
IND,2016-01-07 04:54,140.00,8.05
IND,2016-01-07 05:54,150.00,8.05
IND,2016-01-07 06:54,160.00,9.20
IND,2016-01-07 07:54,130.00,6.90
IND,2016-01-07 08:54,120.00,8.05
IND,2016-01-07 09:54,130.00,6.90
IND,2016-01-07 10:54,90.00,3.45
IND,2016-01-07 11:54,130.00,8.05
IND,2016-01-07 12:54,140.00,5.75
IND,2016-01-07 13:54,120.00,4.60
IND,2016-01-07 14:54,100.00,6.90
IND,2016-01-07 15:54,130.00,5.75
IND,2016-01-07 16:54,120.00,8.05
IND,2016-01-07 17:54,150.00,10.35
IND,2016-01-07 18:54,170.00,10.35
IND,2016-01-07 19:54,160.00,9.20
IND,2016-01-07 20:54,130.00,10.35
IND,2016-01-07 21:54,110.00,8.05
IND,2016-01-07 22:54,130.00,8.05
IND,2016-01-07 23:54,120.00,5.75
IND,2016-01-08 00:54,120.00,9.20
IND,2016-01-08 01:54,120.00,8.05
IND,2016-01-08 02:54,130.00,9.20
IND,2016-01-08 03:54,110.00,9.20
IND,2016-01-08 04:54,130.00,9.20
IND,2016-01-08 05:51,130.00,9.20
IND,2016-01-08 05:54,130.00,9.20
IND,2016-01-08 06:54,110.00,8.05
IND,2016-01-08 07:16,110.00,8.05
IND,2016-01-08 07:54,110.00,9.20
IND,2016-01-08 08:54,120.00,10.35
IND,2016-01-08 09:54,120.00,11.50
IND,2016-01-08 10:54,130.00,10.35
IND,2016-01-08 11:54,140.00,10.35
IND,2016-01-08 12:18,140.00,10.35
IND,2016-01-08 12:26,140.00,11.50
IND,2016-01-08 12:51,120.00,11.50
IND,2016-01-08 12:54,130.00,12.65
IND,2016-01-08 13:01,130.00,11.50
IND,2016-01-08 13:09,130.00,11.50
IND,2016-01-08 13:49,130.00,10.35
IND,2016-01-08 13:54,140.00,11.50
IND,2016-01-08 14:08,130.00,11.50
IND,2016-01-08 14:54,150.00,12.65
IND,2016-01-08 15:54,140.00,9.20
IND,2016-01-08 16:54,160.00,9.20
IND,2016-01-08 17:54,180.00,10.35
IND,2016-01-08 18:25,190.00,11.50
IND,2016-01-08 18:54,190.00,11.50
IND,2016-01-08 19:43,190.00,11.50
IND,2016-01-08 19:54,200.00,12.65
IND,2016-01-08 20:15,170.00,10.35
IND,2016-01-08 20:41,190.00,10.35
IND,2016-01-08 20:54,170.00,9.20
IND,2016-01-08 21:14,170.00,9.20
IND,2016-01-08 21:54,180.00,12.65
IND,2016-01-08 22:54,160.00,11.50
IND,2016-01-08 23:54,140.00,12.65
IND,2016-01-09 00:33,170.00,10.35
IND,2016-01-09 00:54,180.00,12.65
IND,2016-01-09 01:41,190.00,13.80
IND,2016-01-09 01:54,200.00,13.80
IND,2016-01-09 02:54,210.00,10.35
IND,2016-01-09 03:47,220.00,13.80
IND,2016-01-09 03:54,220.00,13.80
IND,2016-01-09 04:54,220.00,13.80
IND,2016-01-09 05:17,230.00,10.35
IND,2016-01-09 05:54,230.00,11.50
IND,2016-01-09 06:12,240.00,10.35
IND,2016-01-09 06:54,210.00,8.05
IND,2016-01-09 07:46,230.00,10.35
IND,2016-01-09 07:54,240.00,9.20
IND,2016-01-09 08:54,220.00,6.90
IND,2016-01-09 09:54,210.00,6.90
IND,2016-01-09 10:50,180.00,5.75
IND,2016-01-09 10:54,180.00,6.90
IND,2016-01-09 11:30,200.00,4.60
IND,2016-01-09 11:54,200.00,4.60
IND,2016-01-09 12:54,150.00,3.45
IND,2016-01-09 13:54,170.00,4.60
IND,2016-01-09 14:01,0.00,0.00
IND,2016-01-09 14:44,60.00,5.75
IND,2016-01-09 14:54,170.00,5.75
IND,2016-01-09 15:41,0.00,0.00
IND,2016-01-09 15:54,0.00,0.00
IND,2016-01-09 16:31,130.00,4.60
IND,2016-01-09 16:40,140.00,4.60
IND,2016-01-09 16:50,110.00,4.60
IND,2016-01-09 16:54,100.00,4.60
IND,2016-01-09 17:03,110.00,4.60
IND,2016-01-09 17:54,70.00,4.60
IND,2016-01-09 18:36,110.00,8.05
IND,2016-01-09 18:54,100.00,9.20
IND,2016-01-09 19:25,120.00,8.05
IND,2016-01-09 19:54,110.00,8.05
IND,2016-01-09 19:59,110.00,9.20
IND,2016-01-09 20:54,120.00,8.05
IND,2016-01-09 21:04,130.00,10.35
IND,2016-01-09 21:10,130.00,10.35
IND,2016-01-09 21:13,130.00,11.50
IND,2016-01-09 21:21,140.00,10.35
IND,2016-01-09 21:54,150.00,13.80
IND,2016-01-09 22:54,150.00,10.35
IND,2016-01-09 23:06,150.00,13.80
IND,2016-01-09 23:22,150.00,13.80
IND,2016-01-09 23:38,160.00,10.35
IND,2016-01-09 23:54,160.00,8.05
IND,2016-01-10 00:26,150.00,9.20
IND,2016-01-10 00:54,140.00,8.05
IND,2016-01-10 01:18,140.00,6.90
IND,2016-01-10 01:54,150.00,8.05
IND,2016-01-10 02:54,150.00,3.45
IND,2016-01-10 03:14,310.00,13.80
IND,2016-01-10 03:54,320.00,17.25
IND,2016-01-10 04:54,320.00,25.30
IND,2016-01-10 05:54,320.00,24.15
IND,2016-01-10 06:38,330.00,19.55
IND,2016-01-10 06:54,340.00,19.55
IND,2016-01-10 07:20,330.00,19.55
IND,2016-01-10 07:54,320.00,18.40
IND,2016-01-10 08:06,310.00,23.00
IND,2016-01-10 08:54,300.00,29.90
IND,2016-01-10 09:54,300.00,24.15
IND,2016-01-10 10:14,300.00,27.60
IND,2016-01-10 10:24,300.00,27.60
IND,2016-01-10 10:54,300.00,29.90
IND,2016-01-10 11:54,290.00,27.60
IND,2016-01-10 12:54,290.00,31.05
IND,2016-01-10 13:54,280.00,25.30
IND,2016-01-10 14:44,290.00,24.15
IND,2016-01-10 14:54,290.00,23.00
IND,2016-01-10 15:54,290.00,24.15
IND,2016-01-10 16:40,280.00,25.30
IND,2016-01-10 16:54,280.00,17.25
IND,2016-01-10 17:54,280.00,19.55
IND,2016-01-10 18:54,280.00,18.40
IND,2016-01-10 19:54,270.00,25.30
IND,2016-01-10 20:21,290.00,19.55
IND,2016-01-10 20:54,250.00,21.85
IND,2016-01-10 21:19,260.00,18.40
IND,2016-01-10 21:54,260.00,16.10
IND,2016-01-10 22:54,260.00,12.65
