,Enhanc_FM(ppm)
1/01/2016 00:00,14.61591733
1/01/2016 01:00,3.777040498
1/01/2016 02:00,4.025750069
1/01/2016 03:00,5.151576093
1/01/2016 04:00,5.407640295
1/01/2016 05:00,5.938795069
1/01/2016 06:00,6.940583793
1/01/2016 07:00,15.38800562
1/01/2016 08:00,10.91637586
1/01/2016 09:00,6.20362619
1/01/2016 10:00,7.049582639
1/01/2016 11:00,7.424022314
1/01/2016 12:00,12.73455046
1/01/2016 13:00,5.668614737
1/01/2016 14:00,4.037167049
1/01/2016 15:00,3.222354937
1/01/2016 16:00,2.834279119
1/01/2016 17:00,2.672252767
1/01/2016 18:00,2.443722743
1/01/2016 19:00,2.751348692
1/01/2016 20:00,3.187829092
1/01/2016 21:00,3.556167319
1/01/2016 22:00,5.267630555
1/01/2016 23:00,5.045091192
2/01/2016 00:00,5.405577718
2/01/2016 01:00,9.350717027
2/01/2016 02:00,10.38089484
2/01/2016 03:00,28.68571772
2/01/2016 04:00,43.20668953
2/01/2016 05:00,30.57876819
2/01/2016 06:00,25.1396298
2/01/2016 07:00,21.23741854
2/01/2016 08:00,4.552024087
2/01/2016 09:00,4.977771074
2/01/2016 10:00,6.268035795
2/01/2016 11:00,7.480111009
2/01/2016 12:00,9.719094745
2/01/2016 13:00,17.80229247
2/01/2016 14:00,17.32879842
2/01/2016 15:00,6.835744374
2/01/2016 16:00,4.746745557
2/01/2016 17:00,4.879446305
2/01/2016 18:00,8.609003989
2/01/2016 19:00,5.391400062
2/01/2016 20:00,5.465637008
2/01/2016 21:00,5.75628108
2/01/2016 22:00,7.775052427
2/01/2016 23:00,9.077186999
3/01/2016 00:00,18.4428719
3/01/2016 01:00,58.04238825
3/01/2016 02:00,42.52292956
3/01/2016 03:00,38.1036801
3/01/2016 04:00,18.09250353
3/01/2016 05:00,7.87072856
3/01/2016 06:00,9.477732541
3/01/2016 07:00,11.86227633
3/01/2016 08:00,6.422870417
3/01/2016 09:00,3.369677417
3/01/2016 10:00,3.035931372
3/01/2016 11:00,3.107282551
3/01/2016 12:00,4.287957063
3/01/2016 13:00,5.74144988
3/01/2016 14:00,5.075073975
3/01/2016 15:00,4.179307339
3/01/2016 16:00,3.741934584
3/01/2016 17:00,3.213229365
3/01/2016 18:00,3.386063787
3/01/2016 19:00,2.808016425
3/01/2016 20:00,3.010212699
3/01/2016 21:00,3.812760231
3/01/2016 22:00,3.698880146
3/01/2016 23:00,3.045903992
4/01/2016 00:00,2.455795796
4/01/2016 01:00,2.794892901
4/01/2016 02:00,2.430006827
4/01/2016 03:00,2.416221754
4/01/2016 04:00,1.798495116
4/01/2016 05:00,1.640826446
4/01/2016 06:00,1.487365484
4/01/2016 07:00,1.438367846
4/01/2016 08:00,1.406696224
4/01/2016 09:00,1.388223996
4/01/2016 10:00,1.584360879
4/01/2016 11:00,2.136776663
4/01/2016 12:00,2.742252232
4/01/2016 13:00,2.788157023
4/01/2016 14:00,3.363070511
4/01/2016 15:00,2.667364531
4/01/2016 16:00,2.874857578
4/01/2016 17:00,2.040819318
4/01/2016 18:00,1.915605045
4/01/2016 19:00,2.303318943
4/01/2016 20:00,3.566211935
4/01/2016 21:00,5.821269596
4/01/2016 22:00,8.000409367
4/01/2016 23:00,9.542657558
5/01/2016 00:00,6.719151841
5/01/2016 01:00,2.872564312
5/01/2016 02:00,2.648666972
5/01/2016 03:00,1.323160559
5/01/2016 04:00,1.105600336
5/01/2016 05:00,1.009783491
5/01/2016 06:00,0.948661284
5/01/2016 07:00,0.97177091
5/01/2016 08:00,1.166062174
5/01/2016 09:00,1.102285239
5/01/2016 10:00,1.113364759
5/01/2016 11:00,1.872830304
5/01/2016 12:00,2.391429246
5/01/2016 13:00,2.241427344
5/01/2016 14:00,1.905198319
5/01/2016 15:00,1.574020624
5/01/2016 16:00,1.919970358
5/01/2016 17:00,2.080830898
5/01/2016 18:00,1.790481112
5/01/2016 19:00,1.696080919
5/01/2016 20:00,1.922429882
5/01/2016 21:00,2.209729151
5/01/2016 22:00,3.000854328
5/01/2016 23:00,3.448575876
6/01/2016 00:00,3.576203513
6/01/2016 01:00,3.610220248
6/01/2016 02:00,2.156475841
6/01/2016 03:00,2.123261506
6/01/2016 04:00,1.690048818
6/01/2016 05:00,1.367751755
6/01/2016 06:00,1.229340393
6/01/2016 07:00,1.118939468
6/01/2016 08:00,0.88982971
6/01/2016 09:00,1.035306627
6/01/2016 10:00,1.707027783
6/01/2016 11:00,3.230328799
6/01/2016 12:00,5.457592447
6/01/2016 13:00,5.783363032
6/01/2016 14:00,5.368324502
6/01/2016 15:00,5.782638997
6/01/2016 16:00,7.546541814
6/01/2016 17:00,7.660935455
6/01/2016 18:00,6.507003862
6/01/2016 19:00,6.42662661
6/01/2016 20:00,7.578600468
6/01/2016 21:00,9.96731269
6/01/2016 22:00,8.525361343
6/01/2016 23:00,5.638195647
7/01/2016 00:00,3.666292758
7/01/2016 01:00,3.278890652
7/01/2016 02:00,2.636911738
7/01/2016 03:00,2.370971864
7/01/2016 04:00,2.290991952
7/01/2016 05:00,2.20062144
7/01/2016 06:00,1.355787956
7/01/2016 07:00,1.314212656
7/01/2016 08:00,1.435239847
7/01/2016 09:00,1.901580339
7/01/2016 10:00,2.787979429
7/01/2016 11:00,4.155608575
7/01/2016 12:00,4.58986774
7/01/2016 13:00,6.002624947
7/01/2016 14:00,5.912646929
7/01/2016 15:00,5.162181007
7/01/2016 16:00,4.99179144
7/01/2016 17:00,4.951930084
7/01/2016 18:00,3.81569605
7/01/2016 19:00,3.748991353
7/01/2016 20:00,5.487694114
7/01/2016 21:00,6.233012891
7/01/2016 22:00,7.869914206
7/01/2016 23:00,5.52440927
8/01/2016 00:00,5.151250177
8/01/2016 01:00,6.645162371
8/01/2016 02:00,2.953309672
8/01/2016 03:00,1.840333874
8/01/2016 04:00,1.843751889
8/01/2016 05:00,1.548637413
8/01/2016 06:00,1.322515303
8/01/2016 07:00,1.698512491
8/01/2016 08:00,1.772584823
8/01/2016 09:00,2.179126667
8/01/2016 10:00,2.145109358
8/01/2016 11:00,2.494578786
8/01/2016 12:00,2.372335829
8/01/2016 13:00,2.194754042
8/01/2016 14:00,2.324836925
8/01/2016 15:00,3.248085507
8/01/2016 16:00,3.195200396
8/01/2016 17:00,3.994253758
8/01/2016 18:00,5.652943388
8/01/2016 19:00,8.433683319
8/01/2016 20:00,10.38760713
8/01/2016 21:00,10.89900873
8/01/2016 22:00,12.48720278
8/01/2016 23:00,7.077284309
9/01/2016 00:00,4.645992147
9/01/2016 01:00,2.756423371
9/01/2016 02:00,3.748662996
9/01/2016 03:00,4.676453933
9/01/2016 04:00,5.411444814
9/01/2016 05:00,6.203059848
9/01/2016 06:00,7.760767741
9/01/2016 07:00,23.17358673
9/01/2016 08:00,28.14413982
9/01/2016 09:00,13.2974039
9/01/2016 10:00,5.277940793
9/01/2016 11:00,9.682226011
9/01/2016 12:00,7.06849221
9/01/2016 13:00,44.01964142
9/01/2016 14:00,34.82368284
9/01/2016 15:00,25.80897305
9/01/2016 16:00,11.01298127
9/01/2016 17:00,8.287789071
9/01/2016 18:00,5.157062906
9/01/2016 19:00,4.701689591
9/01/2016 20:00,4.055193893
9/01/2016 21:00,3.392397105
9/01/2016 22:00,4.878658821
9/01/2016 23:00,3.902660694
10/01/2016 00:00,3.35767231
10/01/2016 01:00,3.243179954
10/01/2016 02:00,2.736759136
10/01/2016 03:00,2.900552298
10/01/2016 04:00,8.008969333
10/01/2016 05:00,2.68916093
10/01/2016 06:00,1.719568057
10/01/2016 07:00,1.437375612
10/01/2016 08:00,1.328233551
10/01/2016 09:00,1.369176821
10/01/2016 10:00,1.375348068
10/01/2016 11:00,1.871570837
10/01/2016 12:00,2.61269326
10/01/2016 13:00,3.105810794
10/01/2016 14:00,2.361591115
10/01/2016 15:00,1.938563269
10/01/2016 16:00,1.709344141
10/01/2016 17:00,1.48310109
10/01/2016 18:00,1.354774378
10/01/2016 19:00,1.107742973
10/01/2016 20:00,1.20730061
10/01/2016 21:00,2.191970276
10/01/2016 22:00,2.520874573
10/01/2016 23:00,2.550641517
11/01/2016 00:00,2.287425962
11/01/2016 01:00,2.313678696
11/01/2016 02:00,2.125582832
11/01/2016 03:00,2.098859797
11/01/2016 04:00,2.289305531
11/01/2016 05:00,2.322914872
11/01/2016 06:00,2.154757295
11/01/2016 07:00,2.08661838
11/01/2016 08:00,2.288312475
11/01/2016 09:00,2.396855946
11/01/2016 10:00,2.596485246
11/01/2016 11:00,3.387252059
11/01/2016 12:00,10.45862351
11/01/2016 13:00,25.32719966
11/01/2016 14:00,3.653412446
11/01/2016 15:00,3.960514931
11/01/2016 16:00,2.845324783
11/01/2016 17:00,2.010292063
11/01/2016 18:00,2.050315276
11/01/2016 19:00,2.330187254
11/01/2016 20:00,2.658334732
11/01/2016 21:00,3.517667309
11/01/2016 22:00,4.138227076
11/01/2016 23:00,6.079792595
12/01/2016 00:00,3.861213356
12/01/2016 01:00,2.938533808
12/01/2016 02:00,2.600372925
12/01/2016 03:00,2.51081857
12/01/2016 04:00,1.961438334
12/01/2016 05:00,2.169780467
12/01/2016 06:00,2.372466429
12/01/2016 07:00,2.651418418
12/01/2016 08:00,8.388942073
12/01/2016 09:00,5.632511633
12/01/2016 10:00,6.335160656
12/01/2016 11:00,4.464001653
12/01/2016 12:00,6.847230754
12/01/2016 13:00,19.23296693
12/01/2016 14:00,5.702430104
12/01/2016 15:00,3.49980199
12/01/2016 16:00,3.077767301
12/01/2016 17:00,2.464852038
12/01/2016 18:00,2.157393108
12/01/2016 19:00,2.207665681
12/01/2016 20:00,2.560714994
12/01/2016 21:00,2.775676517
12/01/2016 22:00,4.103609628
12/01/2016 23:00,3.055176584
13/01/2016 00:00,2.901324165
